1.2512341537220264,122.415
1.2512341537220264,122.415,0.5458327527197617,91.19
1.2512341537220264,122.415,0.5458327527197617,91.19,0.9681277963927565,120.465
1.2512341537220264,122.415,0.5458327527197617,91.19,0.9681277963927565,120.465,0.5458326904098117,128.16500000000002
1.2512341537220264,122.415,0.5458327527197617,91.19,0.9681277963927565,120.465,0.5458326904098117,128.16500000000002,1.6800935749186974,135.115
1.2512341537220264,122.415,0.5458327527197617,91.19,0.9681277963927565,120.465,0.5458326904098117,128.16500000000002,1.6800935749186974,135.115,1.5316200097979826,134.04000000000002
1.249682163444023,121.79
1.249682163444023,121.79,0.5434077811417997,89.24000000000001
1.249682163444023,121.79,0.5434077811417997,89.24000000000001,0.9706213272005569,126.64
1.249682163444023,121.79,0.5434077811417997,89.24000000000001,0.9706213272005569,126.64,0.543407718861585,127.34
1.249682163444023,121.79,0.5434077811417997,89.24000000000001,0.9706213272005569,126.64,0.543407718861585,127.34,1.678376330953627,126.99000000000001
1.249682163444023,121.79,0.5434077811417997,89.24000000000001,0.9706213272005569,126.64,0.543407718861585,127.34,1.678376330953627,126.99000000000001,1.5306608569579232,140.14
1.2481138611653388,123.815
1.2481138611653388,123.815,0.5412874366853543,87.89
1.2481138611653388,123.815,0.5412874366853543,87.89,0.97263369586138,122.065
1.2481138611653388,123.815,0.5412874366853543,87.89,0.97263369586138,122.065,0.541287374416435,126.74000000000001
1.2481138611653388,123.815,0.5412874366853543,87.89,0.97263369586138,122.065,0.541287374416435,126.74000000000001,1.676689169063349,135.09
1.2481138611653388,123.815,0.5412874366853543,87.89,0.97263369586138,122.065,0.541287374416435,126.74000000000001,1.676689169063349,135.09,1.5295387692673839,138.59
1.247164303721177,122.9233333333333
1.247164303721177,122.9233333333333,0.5397309858905492,84.52333333333331
1.247164303721177,122.9233333333333,0.5397309858905492,84.52333333333331,0.9742700074152951,120.5233333333333
1.247164303721177,122.9233333333333,0.5397309858905492,84.52333333333331,0.9742700074152951,120.5233333333333,0.5397309236441653,125.8566666666667
1.247164303721177,122.9233333333333,0.5397309858905492,84.52333333333331,0.9742700074152951,120.5233333333333,0.5397309236441653,125.8566666666667,1.6756268358605018,133.09
1.247164303721177,122.9233333333333,0.5397309858905492,84.52333333333331,0.9742700074152951,120.5233333333333,0.5397309236441653,125.8566666666667,1.6756268358605018,133.09,1.5289853325198033,135.99
1.2470732970014455,120.19
1.2470732970014455,120.19,0.5396937859716173,81.89
1.2470732970014455,120.19,0.5396937859716173,81.89,0.9742550410395571,117.8233333333333
1.2470732970014455,120.19,0.5396937859716173,81.89,0.9742550410395571,117.8233333333333,0.5396937237209429,124.29
1.2470732970014455,120.19,0.5396937859716173,81.89,0.9742550410395571,117.8233333333333,0.5396937237209429,124.29,1.6755416781601016,128.69
1.2470732970014455,120.19,0.5396937859716173,81.89,0.9742550410395571,117.8233333333333,0.5396937237209429,124.29,1.6755416781601016,128.69,1.528880549557084,137.9566666666667
1.2465674281587091,123.04
1.2465674281587091,123.04,0.538863852638568,83.39
1.2465674281587091,123.04,0.538863852638568,83.39,0.9751277747028482,115.04
1.2465674281587091,123.04,0.538863852638568,83.39,0.9751277747028482,115.04,0.5388637903999797,122.04
1.2465674281587091,123.04,0.538863852638568,83.39,0.9751277747028482,115.04,0.5388637903999797,122.04,1.674975461881777,131.99
1.2465674281587091,123.04,0.538863852638568,83.39,0.9751277747028482,115.04,0.5388637903999797,122.04,1.674975461881777,131.99,1.5285860106194704,136.79000000000002
1.2517184581759775,122.29
1.2517184581759775,122.29,0.5475128010558643,100.0566666666667
1.2517184581759775,122.29,0.5475128010558643,100.0566666666667,0.9659346436769377,117.9233333333333
1.2517184581759775,122.29,0.5475128010558643,100.0566666666667,0.9659346436769377,117.9233333333333,0.5475127386847526,135.0233333333333
1.2517184581759775,122.29,0.5475128010558643,100.0566666666667,0.9659346436769377,117.9233333333333,0.5475127386847526,135.0233333333333,1.6807644767220487,133.49
1.2517184581759775,122.29,0.5475128010558643,100.0566666666667,0.9659346436769377,117.9233333333333,0.5475127386847526,135.0233333333333,1.6807644767220487,133.49,1.5314919263188245,137.09
1.2468912933832592,116.09697674418601
1.2468912933832592,116.09697674418601,0.5396194471793655,84.4597674418605
1.2468912933832592,116.09697674418601,0.5396194471793655,84.4597674418605,0.9742251456725936,118.2248837209302
1.2468912933832592,116.09697674418601,0.5396194471793655,84.4597674418605,0.9742251456725936,118.2248837209302,0.5396193849201149,124.1225581395349
